chain_id,record_id,stage,domain,metric,window_start_ps,window_end_ps,aggregation,value,unit,criterion_id,criterion_status,verdict,evidence_file,reviewer
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,density_mean,500,1000,mean,1514.63103821,kg_m3,OBS005,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,density_slope_percent_per_ns,500,1000,slope,0.274506971053,percent_per_ns,SCR006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/grompp_npt.log,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,max_adjacent_volume_jump_percent,0,1000,max_relative_jump,1.99947517355,percent,SCR005,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,npt_min_box_over_2rlist,0,1000,min,1.2449675,ratio,SCR002,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,screen_hard_fail_reason_count,500,1000,count,0,count,DEC001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,screen_verdict,500,1000,decision,SCREEN_EXTEND,status,DEC002,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,technical,stage_duration,0,1000,range,1000,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,npt,physical,temperature_mean,500,1000,mean,297.974881098,K,SCR004,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,absolute_temperature_slope_per_ns,2000,3000,absolute_slope,0.283161195738,K_per_ns,EXT3NS003,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_1_2ns_vs_2_3ns_diff_percent,1000,3000,symmetric_difference,0.00555880225585,percent,EXT3NS008,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_first_vs_second_500ps_diff_percent,2000,3000,symmetric_difference,0.00833930649184,percent,EXT3NS007,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_last_two_block_diff_percent,2000,3000,symmetric_difference,0.0370711652941,percent,EXT3NS005,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_max_adjacent_block_diff_percent,2000,3000,max_symmetric_difference,0.0983619571785,percent,EXT3NS006,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_mean,2000,3000,mean,1518.93459116,kg_m3,OBS3NS001,PROVISIONAL_3NS_EXPLORATORY,NOT_EVALUATED,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,density_slope_percent_per_ns,2000,3000,slope,0.0611616051669,percent_per_ns,EXT3NS004,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,technical,fatal_error,1000,3000,count,0,count,TECH002,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,technical,lincs_warning,1000,3000,count,0,count,TECH004,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,max_adjacent_volume_jump_percent,0,3000,max_relative_jump,1.99947517355,percent,EXT3NS009,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,technical,nan_count,1000,3000,count,0,count,TECH003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,npt_min_box_over_2rlist,0,3000,min,1.24179916667,ratio,EXT3NS001,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,technical,segmentation_fault,1000,3000,count,0,count,TECH005,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,technical,stage_duration,1000,3000,range,2000,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,temperature_mean,2000,3000,mean,298.143865053,K,EXT3NS002,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,three_ns_exploratory_verdict,0,3000,decision,THREE_NS_STATIONARITY_CANDIDATE,status,DEC3NS003,PROVISIONAL_3NS_EXPLORATORY,THREE_NS_STATIONARITY_CANDIDATE,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,three_ns_hard_fail_reason_count,0,3000,count,0,count,DEC3NS001,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:002,npt,physical,three_ns_review_reason_count,0,3000,count,0,count,DEC3NS002,PROVISIONAL_3NS_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/extension_analysis.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,all,technical,fatal_error,,,count,0,count,TECH002,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,all,technical,lincs_warning,,,count,0,count,TECH004,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,all,technical,nan_count,,,count,0,count,TECH003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
pilot_L1P1x2_rho1400_v6,pilot_L1P1x2_rho1400_v6:npt:001,all,technical,segmentation_fault,,,count,0,count,TECH005,PROVISIONAL_EXPLORATORY,PASS,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,physical,absolute_temperature_slope_per_ns,50,100,absolute_slope,47.2033970136,K_per_ns,SCR009,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/grompp_nvt.log,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,physical,nvt_min_box_over_2rlist,0,100,min,1.28570833333,ratio,SCR001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,technical,stage_duration,0,100,range,100,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,physical,temperature_last_two_block_diff,50,100,absolute_difference,1.83972753636,K,SCR010,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,nvt,physical,temperature_mean,50,100,mean,297.316089686,K,SCR003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,absolute_temperature_slope_per_ns,500,1000,absolute_slope,0.529217778944,K_per_ns,SCR011,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,density_first_vs_second_250ps_diff_percent,500,1000,symmetric_difference,0.038664007317,percent,OBS001,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,density_last_two_block_diff_percent,500,1000,symmetric_difference,0.407046202249,percent,SCR007,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,density_max_adjacent_block_diff_percent,500,1000,max_symmetric_difference,0.407046202249,percent,SCR008,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,density_mean,500,1000,mean,1513.96126058,kg_m3,OBS005,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,density_slope_percent_per_ns,500,1000,slope,0.239501711687,percent_per_ns,SCR006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/grompp_npt.log,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,max_adjacent_volume_jump_percent,0,1000,max_relative_jump,1.92886730004,percent,SCR005,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,npt_min_box_over_2rlist,0,1000,min,1.245505,ratio,SCR002,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,screen_hard_fail_reason_count,500,1000,count,0,count,DEC001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,screen_verdict,500,1000,decision,SCREEN_EXTEND,status,DEC002,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,technical,stage_duration,0,1000,range,1000,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,npt,physical,temperature_mean,500,1000,mean,297.864595325,K,SCR004,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,all,technical,fatal_error,,,count,0,count,TECH002,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,all,technical,lincs_warning,,,count,0,count,TECH004,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,all,technical,nan_count,,,count,0,count,TECH003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R1_exec_20260807,replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,all,technical,segmentation_fault,,,count,0,count,TECH005,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,physical,absolute_temperature_slope_per_ns,50,100,absolute_slope,74.5641979186,K_per_ns,SCR009,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/grompp_nvt.log,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,physical,nvt_min_box_over_2rlist,0,100,min,1.28570833333,ratio,SCR001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,technical,stage_duration,0,100,range,100,ps,TECH006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,physical,temperature_last_two_block_diff,50,100,absolute_difference,3.41500591818,K,SCR010,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,nvt,physical,temperature_mean,50,100,mean,297.429454137,K,SCR003,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,absolute_temperature_slope_per_ns,500,1000,absolute_slope,2.33651461211,K_per_ns,SCR011,PROVISIONAL_EXPLORATORY,SCREEN_EXTEND,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,density_first_vs_second_250ps_diff_percent,500,1000,symmetric_difference,0.30797569119,percent,OBS001,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,density_last_two_block_diff_percent,500,1000,symmetric_difference,0.0587605207775,percent,SCR007,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,density_max_adjacent_block_diff_percent,500,1000,max_symmetric_difference,0.408795414107,percent,SCR008,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,density_mean,500,1000,mean,1515.56498478,kg_m3,OBS005,PROVISIONAL_EXPLORATORY,NOT_EVALUATED,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,physical,density_slope_percent_per_ns,500,1000,slope,0.74488352609,percent_per_ns,SCR006,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/equilibration_metrics.json,consolidate_equilibration_registry.py
replica_L1P1x2_rho1400_R2_exec_20260807,replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,npt,technical,grompp_warnings,,,count,0,count,TECH001,PROVISIONAL_EXPLORATORY,PASS,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration/grompp_npt.log,consolidate_equilibration_registry.py
